描述
"2023年7月15日16时38分43秒,吉林一号魔方02A星侦获一架P-3C降落志航基地."
"2023年7月10日14时10分18秒,吉林一号光学A星侦获两艘基隆级驱逐舰驶离马公军港."
"2023年7月8日16时2分26秒,吉林一号魔方02A星侦获太武山雷达站AN/FPS-117雷达开机."
"2023年7月18日13时11分22秒,吉林一号红外A星侦获乐山雷达站铺路爪超大型相控阵雷达开机."
"2023年7月26日2时18分55秒,吉林一号高分03D星侦获一架P-3C降落花莲基地."
"2023年7月13日22时20分0秒,吉林一号高分03D星侦获两架C-130运输机降落台南基地."
"2023年7月4日23时31分44秒,吉林一号魔方02A星侦获一架C-47运输机降落佳山基地."
"2023年7月20日23时49分53秒,吉林一号红外A星侦获林田山雷达站AN/FPS-117雷达开机."
"2023年7月30日1时37分15秒,吉林一号高分03B推扫星06星侦获乐山雷达站铺路爪超大型相控阵雷达开机."
"2023年7月30日0时20分23秒,吉林一号高分03D星侦获一艘茄比级潜艇停靠基隆军港."
"2023年7月14日5时18分21秒,吉林一号红外A星侦获两艘剑龙级潜艇停靠马公军港."
"2023年7月18日0时38分35秒,吉林一号红外A星侦获鹅銮鼻雷达站AN/TPS-117雷达开机."
"2023年7月3日18时14分21秒,吉林一号高分03D星侦获一艘基隆级驱逐舰停靠马公军港."
"2023年7月9日9时18分24秒,吉林一号魔方02A星侦获两架E-2T降落屏东基地."
"2023年7月23日11时2分54秒,吉林一号宽幅01星侦获一架E-2T降落佳山基地."
"2023年7月29日16时49分41秒,吉林一号宽幅01星侦获一艘沱江级导弹驱逐舰停靠左营军港."
"2023年7月27日23时39分23秒,吉林一号魔方02A星侦获东引雷达站AN/FPS-117雷达开机."
"2023年7月29日3时6分19秒,吉林一号高分03D星侦获两艘剑龙级潜艇停靠左营军港."
"2023年7月8日11时57分36秒,吉林一号光学A星侦获两架E-2K降落新竹基地."
"2023年7月4日7时51分26秒,吉林一号高分03B推扫星06星侦获林田山雷达站AN/FPS-117雷达开机."
"2023年7月21日19时59分55秒,吉林一号魔方02A星侦获两架P-3C降落花莲基地."
"2023年7月18日9时8分53秒,吉林一号高分03B推扫星04星侦获一架C-130HE降落佳山基地."
"2023年7月1日9时10分17秒,吉林一号高分03D星侦获两架C-130运输机降落清泉岗基地."
"2023年7月3日21时39分39秒,吉林一号高分03B推扫星04星侦获外埔雷达站AN/TPS-117雷达开机."
"2023年7月3日21时55分46秒,吉林一号魔方02A星侦获一艘成功级护卫舰停靠马公军港."
"2023年7月21日1时58分50秒,吉林一号宽幅01星侦获一艘基隆级驱逐舰停靠马公军港."
"2023年7月25日15时46分43秒,吉林一号高分02F星侦获两艘茄比级潜艇驶离基隆军港."
"2023年7月13日13时37分41秒,吉林一号高分03B推扫星06星侦获一艘成功级护卫舰停靠马公军港."
"2023年7月29日7时10分54秒,吉林一号高分02F星侦获一架P-3C降落佳山基地."
"2023年7月12日8时7分57秒,吉林一号光学A星侦获太武山雷达站AN/FPS-117雷达开机."
"2023年7月11日18时31分39秒,吉林一号高分03D星侦获两架E-2K降落花莲基地."
"2023年7月25日5时33分16秒,吉林一号光学A星侦获一艘茄比级潜艇驶离苏澳军港."
"2023年7月15日12时49分1秒,吉林一号魔方02A星侦获一艘剑龙级潜艇驶离马公军港."

































































































































































































































































































































































































































































































































































































































































































































































































































































































































